Estado;Total;;;;;;;;;;;;
RS;R$ 67.302,00;;;;;;;;;;;;
MG;R$ 59.179,53;;;;;;;;;;;;
BA;R$ 54.630,37;;;;;;;;;;;;
SP;R$ 36.053,60;;;;;;;;;;;;
PR;R$ 33.280,99;;;;;;;;;;;;
PE;R$ 27.879,65;;;;;;;;;;;;
DF;R$ 26.969,29;;;;;;;;;;;;
TO;R$ 23.428,94;;;;;;;;;;;;
RJ;R$ 23.030,87;;;;;;;;;;;;
SC;R$ 20.448,55;;;;;;;;;;;;
GO;R$ 19.688,62;;;;;;;;;;;;
MA;R$ 19.322,41;;;;;;;;;;;;
CE;R$ 16.695,16;;;;;;;;;;;;
ES;R$ 6.731,07;;;;;;;;;;;;
SE;R$ 5.746,80;;;;;;;;;;;;
PB;R$ 4.711,88;;;;;;;;;;;;
PI;R$ 3.737,18;;;;;;;;;;;;
AL;R$ 952,75;;;;;;;;;;;;
